Navn;Stasjon;Tid(norsk normaltid);Snødybde;Nedbør (døgn)
Ytre Holmebukt;SN91080;25.02.2021;38;5,6
Ytre Holmebukt;SN91080;26.02.2021;28;9,2
Ytre Holmebukt;SN91080;27.02.2021;26;4,7
Ytre Holmebukt;SN91080;28.02.2021;24;6,1
Ytre Holmebukt;SN91080;01.03.2021;17;22,4
Ytre Holmebukt;SN91080;02.03.2021;32;21,9
Ytre Holmebukt;SN91080;03.03.2021;44;12,4
Ytre Holmebukt;SN91080;04.03.2021;44;5,5
Ytre Holmebukt;SN91080;05.03.2021;46;4,8
Ytre Holmebukt;SN91080;06.03.2021;56;8,1
Ytre Holmebukt;SN91080;07.03.2021;54;4,2
Ytre Holmebukt;SN91080;08.03.2021;50;0,9
Ytre Holmebukt;SN91080;09.03.2021;48;0
Ytre Holmebukt;SN91080;10.03.2021;45;0
Ytre Holmebukt;SN91080;11.03.2021;44;0
Ytre Holmebukt;SN91080;12.03.2021;42;0
Ytre Holmebukt;SN91080;13.03.2021;40;0,1
Ytre Holmebukt;SN91080;14.03.2021;39;0,7
Ytre Holmebukt;SN91080;15.03.2021;38;1,7
Ytre Holmebukt;SN91080;16.03.2021;38;0,8
Ytre Holmebukt;SN91080;17.03.2021;38;0,6
Ytre Holmebukt;SN91080;18.03.2021;41;1,7
Ytre Holmebukt;SN91080;19.03.2021;35;0
Ytre Holmebukt;SN91080;20.03.2021;35;6,3
Ytre Holmebukt;SN91080;21.03.2021;41;5,2
Ytre Holmebukt;SN91080;22.03.2021;46;5,1
Ytre Holmebukt;SN91080;23.03.2021;37;4,4
Ytre Holmebukt;SN91080;24.03.2021;36;12,3
Ytre Holmebukt;SN91080;25.03.2021;33;26,9
Ytre Holmebukt;SN91080;26.03.2021;34;2,9
Ytre Holmebukt;SN91080;27.03.2021;31;0
Ytre Holmebukt;SN91080;28.03.2021;31;5,8
Ytre Holmebukt;SN91080;29.03.2021;29;0,1
Ytre Holmebukt;SN91080;30.03.2021;28;0
Ytre Holmebukt;SN91080;31.03.2021;27;1,9
Ytre Holmebukt;SN91080;01.04.2021;27;3,4
Ytre Holmebukt;SN91080;02.04.2021;27;0,7
Ytre Holmebukt;SN91080;03.04.2021;28;6,3
Ytre Holmebukt;SN91080;04.04.2021;29;11,3
Ytre Holmebukt;SN91080;05.04.2021;29;1,8
Ytre Holmebukt;SN91080;06.04.2021;27;3,6
Ytre Holmebukt;SN91080;07.04.2021;51;38,8
Ytre Holmebukt;SN91080;08.04.2021;43;0,9
Ytre Holmebukt;SN91080;09.04.2021;41;0
Ytre Holmebukt;SN91080;10.04.2021;39;0
Ytre Holmebukt;SN91080;11.04.2021;41;5,8
Ytre Holmebukt;SN91080;12.04.2021;44;7,6
Ytre Holmebukt;SN91080;13.04.2021;39;0
Ytre Holmebukt;SN91080;14.04.2021;42;2,2
Ytre Holmebukt;SN91080;15.04.2021;54;21,6
Ytre Holmebukt;SN91080;16.04.2021;34;4,4
Ytre Holmebukt;SN91080;17.04.2021;29;0,4
Ytre Holmebukt;SN91080;18.04.2021;23;0
Ytre Holmebukt;SN91080;19.04.2021;21;0
Ytre Holmebukt;SN91080;20.04.2021;19;0
Ytre Holmebukt;SN91080;21.04.2021;16;0
Ytre Holmebukt;SN91080;22.04.2021;8;2,7
Ytre Holmebukt;SN91080;23.04.2021;13;4,6
Ytre Holmebukt;SN91080;24.04.2021;8;2,1
Ytre Holmebukt;SN91080;25.04.2021;5;0,2
Ytre Holmebukt;SN91080;26.04.2021;3;0,4
Ytre Holmebukt;SN91080;27.04.2021;5;2
Ytre Holmebukt;SN91080;28.04.2021;2;0,8
Ytre Holmebukt;SN91080;29.04.2021;2;1,4
Ytre Holmebukt;SN91080;30.04.2021;13;11,3
Ytre Holmebukt;SN91080;01.05.2021;14;1,9
Ytre Holmebukt;SN91080;02.05.2021;5;0
Ytre Holmebukt;SN91080;03.05.2021;2;0
Ytre Holmebukt;SN91080;04.05.2021;0;0
Ytre Holmebukt;SN91080;05.05.2021;0;0
Ytre Holmebukt;SN91080;06.05.2021;0;0
Ytre Holmebukt;SN91080;07.05.2021;0;0
Ytre Holmebukt;SN91080;08.05.2021;2;2,1
Ytre Holmebukt;SN91080;10.05.2021;0;1,8
Ytre Holmebukt;SN91080;11.05.2021;0;0
Ytre Holmebukt;SN91080;12.05.2021;0;1,7
Ytre Holmebukt;SN91080;13.05.2021;0;0
Ytre Holmebukt;SN91080;14.05.2021;0;0,3
Ytre Holmebukt;SN91080;15.05.2021;0;0
Ytre Holmebukt;SN91080;16.05.2021;0;0
Ytre Holmebukt;SN91080;17.05.2021;0;0
Ytre Holmebukt;SN91080;18.05.2021;0;2,3
Ytre Holmebukt;SN91080;19.05.2021;0;2,2
Ytre Holmebukt;SN91080;20.05.2021;0;0
Ytre Holmebukt;SN91080;21.05.2021;0;0,1
Ytre Holmebukt;SN91080;22.05.2021;0;0
Ytre Holmebukt;SN91080;23.05.2021;0;0
Ytre Holmebukt;SN91080;24.05.2021;0;0
Ytre Holmebukt;SN91080;25.05.2021;0;0
Ytre Holmebukt;SN91080;26.05.2021;0;0
Ytre Holmebukt;SN91080;27.05.2021;0;0
Ytre Holmebukt;SN91080;28.05.2021;0;0
Ytre Holmebukt;SN91080;29.05.2021;0;0
Ytre Holmebukt;SN91080;30.05.2021;0;0,1
Ytre Holmebukt;SN91080;31.05.2021;0;1,6
Ytre Holmebukt;SN91080;01.06.2021;0;0
Ytre Holmebukt;SN91080;02.06.2021;0;0
Ytre Holmebukt;SN91080;03.06.2021;0;0
Ytre Holmebukt;SN91080;04.06.2021;0;0
Ytre Holmebukt;SN91080;05.06.2021;0;0
Ytre Holmebukt;SN91080;06.06.2021;0;0
Ytre Holmebukt;SN91080;07.06.2021;0;0
Ytre Holmebukt;SN91080;08.06.2021;0;0,1
Ytre Holmebukt;SN91080;09.06.2021;0;1,3
Ytre Holmebukt;SN91080;10.06.2021;0;0
Ytre Holmebukt;SN91080;11.06.2021;0;2,1
Ytre Holmebukt;SN91080;12.06.2021;0;23,1
Ytre Holmebukt;SN91080;13.06.2021;0;19,8
Ytre Holmebukt;SN91080;14.06.2021;0;1,5
Ytre Holmebukt;SN91080;15.06.2021;0;0
Ytre Holmebukt;SN91080;16.06.2021;0;1,4
Ytre Holmebukt;SN91080;17.06.2021;0;2
Ytre Holmebukt;SN91080;18.06.2021;0;1,8
Ytre Holmebukt;SN91080;19.06.2021;0;9,8
Ytre Holmebukt;SN91080;20.06.2021;0;2,8
Ytre Holmebukt;SN91080;21.06.2021;0;0,1
Ytre Holmebukt;SN91080;22.06.2021;0;0,5
Ytre Holmebukt;SN91080;23.06.2021;0;3,9
Ytre Holmebukt;SN91080;24.06.2021;0;0
Ytre Holmebukt;SN91080;25.06.2021;0;0
Ytre Holmebukt;SN91080;26.06.2021;0;0,1
Ytre Holmebukt;SN91080;27.06.2021;0;1,2
Ytre Holmebukt;SN91080;28.06.2021;0;0,5
Ytre Holmebukt;SN91080;29.06.2021;0;4,4
Ytre Holmebukt;SN91080;30.06.2021;0;0,6
Ytre Holmebukt;SN91080;01.07.2021;0;0
Ytre Holmebukt;SN91080;02.07.2021;0;0
Ytre Holmebukt;SN91080;03.07.2021;0;0
Ytre Holmebukt;SN91080;04.07.2021;0;0
Ytre Holmebukt;SN91080;05.07.2021;0;0
Ytre Holmebukt;SN91080;06.07.2021;0;0
Ytre Holmebukt;SN91080;07.07.2021;0;0
Ytre Holmebukt;SN91080;08.07.2021;0;13,2
Ytre Holmebukt;SN91080;09.07.2021;0;4,5
Ytre Holmebukt;SN91080;10.07.2021;0;0,1
Ytre Holmebukt;SN91080;11.07.2021;0;0
Ytre Holmebukt;SN91080;12.07.2021;0;0
Ytre Holmebukt;SN91080;13.07.2021;0;2,8
Ytre Holmebukt;SN91080;14.07.2021;0;1,8
Ytre Holmebukt;SN91080;15.07.2021;0;0
Ytre Holmebukt;SN91080;16.07.2021;0;18,1
Ytre Holmebukt;SN91080;17.07.2021;0;13,9
Ytre Holmebukt;SN91080;18.07.2021;0;6
Ytre Holmebukt;SN91080;19.07.2021;0;1,4
Ytre Holmebukt;SN91080;20.07.2021;0;5,6
Ytre Holmebukt;SN91080;21.07.2021;0;10,4
Ytre Holmebukt;SN91080;22.07.2021;0;4,2
Ytre Holmebukt;SN91080;23.07.2021;0;0,2
Ytre Holmebukt;SN91080;24.07.2021;0;0
Ytre Holmebukt;SN91080;25.07.2021;0;0,3
Ytre Holmebukt;SN91080;26.07.2021;0;2,1
Ytre Holmebukt;SN91080;27.07.2021;0;0
Ytre Holmebukt;SN91080;28.07.2021;0;0
Ytre Holmebukt;SN91080;29.07.2021;0;0
Ytre Holmebukt;SN91080;30.07.2021;0;0
Ytre Holmebukt;SN91080;31.07.2021;0;0
Ytre Holmebukt;SN91080;09.05.2021;-;0,5
Data er gyldig per 27.02.2024 (CC BY 4.0), Meteorologisk institutt (MET);;;;
