Navn;Stasjon;Tid(norsk normaltid);Snødybde;Nedbør (døgn)
Ytre Holmebukt;SN91080;21.02.2020;53;0,5
Ytre Holmebukt;SN91080;22.02.2020;52;0
Ytre Holmebukt;SN91080;23.02.2020;49;1,5
Ytre Holmebukt;SN91080;24.02.2020;57;12,7
Ytre Holmebukt;SN91080;25.02.2020;59;5,9
Ytre Holmebukt;SN91080;26.02.2020;59;0,9
Ytre Holmebukt;SN91080;27.02.2020;64;5,8
Ytre Holmebukt;SN91080;28.02.2020;62;0
Ytre Holmebukt;SN91080;29.02.2020;59;0,3
Ytre Holmebukt;SN91080;01.03.2020;78;11,1
Ytre Holmebukt;SN91080;02.03.2020;77;0,3
Ytre Holmebukt;SN91080;03.03.2020;84;8,8
Ytre Holmebukt;SN91080;04.03.2020;82;0
Ytre Holmebukt;SN91080;05.03.2020;82;0
Ytre Holmebukt;SN91080;06.03.2020;71;0,9
Ytre Holmebukt;SN91080;07.03.2020;71;2,9
Ytre Holmebukt;SN91080;08.03.2020;69;3,1
Ytre Holmebukt;SN91080;09.03.2020;66;0,7
Ytre Holmebukt;SN91080;10.03.2020;64;5,2
Ytre Holmebukt;SN91080;11.03.2020;64;0,8
Ytre Holmebukt;SN91080;12.03.2020;65;2,4
Ytre Holmebukt;SN91080;13.03.2020;66;6,6
Ytre Holmebukt;SN91080;14.03.2020;76;8
Ytre Holmebukt;SN91080;15.03.2020;85;9,8
Ytre Holmebukt;SN91080;16.03.2020;87;4,7
Ytre Holmebukt;SN91080;17.03.2020;86;6,9
Ytre Holmebukt;SN91080;18.03.2020;79;5
Ytre Holmebukt;SN91080;19.03.2020;87;10,1
Ytre Holmebukt;SN91080;20.03.2020;84;1,1
Ytre Holmebukt;SN91080;21.03.2020;84;2,5
Ytre Holmebukt;SN91080;22.03.2020;81;1,9
Ytre Holmebukt;SN91080;23.03.2020;76;4,2
Ytre Holmebukt;SN91080;24.03.2020;65;0,8
Ytre Holmebukt;SN91080;25.03.2020;61;18,9
Ytre Holmebukt;SN91080;26.03.2020;63;11,3
Ytre Holmebukt;SN91080;27.03.2020;58;11,4
Ytre Holmebukt;SN91080;28.03.2020;73;14,3
Ytre Holmebukt;SN91080;29.03.2020;86;17,5
Ytre Holmebukt;SN91080;30.03.2020;97;13,6
Ytre Holmebukt;SN91080;31.03.2020;87;4,3
Ytre Holmebukt;SN91080;01.04.2020;84;8,3
Ytre Holmebukt;SN91080;02.04.2020;82;0,6
Ytre Holmebukt;SN91080;03.04.2020;82;0
Ytre Holmebukt;SN91080;04.04.2020;81;0,8
Ytre Holmebukt;SN91080;05.04.2020;82;0,8
Ytre Holmebukt;SN91080;06.04.2020;94;15,2
Ytre Holmebukt;SN91080;07.04.2020;86;0
Ytre Holmebukt;SN91080;08.04.2020;77;7,9
Ytre Holmebukt;SN91080;09.04.2020;79;12,8
Ytre Holmebukt;SN91080;10.04.2020;82;4,4
Ytre Holmebukt;SN91080;11.04.2020;87;7,6
Ytre Holmebukt;SN91080;12.04.2020;90;4,4
Ytre Holmebukt;SN91080;13.04.2020;86;0,7
Ytre Holmebukt;SN91080;14.04.2020;82;1,4
Ytre Holmebukt;SN91080;15.04.2020;86;2,9
Ytre Holmebukt;SN91080;16.04.2020;81;1,3
Ytre Holmebukt;SN91080;17.04.2020;78;0
Ytre Holmebukt;SN91080;18.04.2020;76;0,2
Ytre Holmebukt;SN91080;19.04.2020;72;0,9
Ytre Holmebukt;SN91080;20.04.2020;65;2,4
Ytre Holmebukt;SN91080;21.04.2020;58;8,6
Ytre Holmebukt;SN91080;22.04.2020;55;0
Ytre Holmebukt;SN91080;23.04.2020;52;1,8
Ytre Holmebukt;SN91080;24.04.2020;49;2,1
Ytre Holmebukt;SN91080;25.04.2020;48;0,6
Ytre Holmebukt;SN91080;26.04.2020;57;7,7
Ytre Holmebukt;SN91080;27.04.2020;53;1,8
Ytre Holmebukt;SN91080;28.04.2020;51;0
Ytre Holmebukt;SN91080;29.04.2020;49;0
Ytre Holmebukt;SN91080;30.04.2020;48;0
Ytre Holmebukt;SN91080;01.05.2020;47;0
Ytre Holmebukt;SN91080;02.05.2020;47;0
Ytre Holmebukt;SN91080;03.05.2020;43;0
Ytre Holmebukt;SN91080;04.05.2020;41;2,3
Ytre Holmebukt;SN91080;05.05.2020;36;0,1
Ytre Holmebukt;SN91080;06.05.2020;32;3,1
Ytre Holmebukt;SN91080;07.05.2020;23;14,8
Ytre Holmebukt;SN91080;08.05.2020;19;0,9
Ytre Holmebukt;SN91080;09.05.2020;18;0,9
Ytre Holmebukt;SN91080;10.05.2020;17;0,1
Ytre Holmebukt;SN91080;11.05.2020;20;2,1
Ytre Holmebukt;SN91080;12.05.2020;22;4,4
Ytre Holmebukt;SN91080;13.05.2020;19;0,9
Ytre Holmebukt;SN91080;14.05.2020;17;0
Ytre Holmebukt;SN91080;15.05.2020;32;9,2
Ytre Holmebukt;SN91080;16.05.2020;26;7,3
Ytre Holmebukt;SN91080;17.05.2020;15;0,4
Ytre Holmebukt;SN91080;18.05.2020;5;2,9
Ytre Holmebukt;SN91080;19.05.2020;0;0
Ytre Holmebukt;SN91080;20.05.2020;0;0,5
Ytre Holmebukt;SN91080;21.05.2020;0;0
Ytre Holmebukt;SN91080;22.05.2020;0;0
Ytre Holmebukt;SN91080;23.05.2020;0;0
Ytre Holmebukt;SN91080;24.05.2020;0;0
Ytre Holmebukt;SN91080;25.05.2020;0;0
Ytre Holmebukt;SN91080;26.05.2020;0;0
Ytre Holmebukt;SN91080;27.05.2020;0;0
Ytre Holmebukt;SN91080;28.05.2020;0;2,9
Ytre Holmebukt;SN91080;29.05.2020;0;2,2
Ytre Holmebukt;SN91080;30.05.2020;0;0,8
Ytre Holmebukt;SN91080;31.05.2020;0;0
Ytre Holmebukt;SN91080;01.06.2020;0;0
Ytre Holmebukt;SN91080;02.06.2020;0;0
Ytre Holmebukt;SN91080;03.06.2020;0;4,2
Ytre Holmebukt;SN91080;04.06.2020;0;0,1
Ytre Holmebukt;SN91080;05.06.2020;0;0,1
Ytre Holmebukt;SN91080;06.06.2020;0;0,6
Ytre Holmebukt;SN91080;07.06.2020;0;0
Ytre Holmebukt;SN91080;08.06.2020;0;4,2
Ytre Holmebukt;SN91080;09.06.2020;0;2,3
Ytre Holmebukt;SN91080;10.06.2020;0;0,9
Ytre Holmebukt;SN91080;11.06.2020;0;0
Ytre Holmebukt;SN91080;12.06.2020;0;0
Ytre Holmebukt;SN91080;13.06.2020;0;0
Ytre Holmebukt;SN91080;14.06.2020;0;0
Ytre Holmebukt;SN91080;15.06.2020;0;0,1
Ytre Holmebukt;SN91080;16.06.2020;0;0
Ytre Holmebukt;SN91080;17.06.2020;0;0
Ytre Holmebukt;SN91080;18.06.2020;0;0
Ytre Holmebukt;SN91080;19.06.2020;0;0
Ytre Holmebukt;SN91080;20.06.2020;0;0
Ytre Holmebukt;SN91080;21.06.2020;0;0
Ytre Holmebukt;SN91080;22.06.2020;0;0
Ytre Holmebukt;SN91080;23.06.2020;0;0
Ytre Holmebukt;SN91080;24.06.2020;0;0
Ytre Holmebukt;SN91080;25.06.2020;0;0,3
Ytre Holmebukt;SN91080;26.06.2020;0;0,9
Ytre Holmebukt;SN91080;27.06.2020;0;0,1
Ytre Holmebukt;SN91080;28.06.2020;0;0
Ytre Holmebukt;SN91080;29.06.2020;0;0
Ytre Holmebukt;SN91080;30.06.2020;0;0,3
Ytre Holmebukt;SN91080;01.07.2020;0;1,2
Ytre Holmebukt;SN91080;02.07.2020;0;20
Ytre Holmebukt;SN91080;03.07.2020;0;9,1
Ytre Holmebukt;SN91080;04.07.2020;0;0,8
Ytre Holmebukt;SN91080;05.07.2020;0;4,5
Ytre Holmebukt;SN91080;06.07.2020;0;0
Ytre Holmebukt;SN91080;07.07.2020;0;1,9
Ytre Holmebukt;SN91080;08.07.2020;0;0,1
Ytre Holmebukt;SN91080;09.07.2020;0;0
Ytre Holmebukt;SN91080;10.07.2020;0;0
Ytre Holmebukt;SN91080;11.07.2020;0;0
Ytre Holmebukt;SN91080;12.07.2020;0;0
Ytre Holmebukt;SN91080;13.07.2020;0;4,6
Ytre Holmebukt;SN91080;14.07.2020;0;0,2
Ytre Holmebukt;SN91080;15.07.2020;0;0
Ytre Holmebukt;SN91080;16.07.2020;0;2,7
Ytre Holmebukt;SN91080;17.07.2020;0;2,5
Ytre Holmebukt;SN91080;18.07.2020;0;4,4
Ytre Holmebukt;SN91080;19.07.2020;0;0,3
Ytre Holmebukt;SN91080;20.07.2020;0;2,5
Ytre Holmebukt;SN91080;21.07.2020;0;5
Ytre Holmebukt;SN91080;22.07.2020;0;7
Ytre Holmebukt;SN91080;23.07.2020;0;14,6
Ytre Holmebukt;SN91080;24.07.2020;0;7,2
Ytre Holmebukt;SN91080;25.07.2020;0;0,2
Ytre Holmebukt;SN91080;26.07.2020;0;0,4
Ytre Holmebukt;SN91080;27.07.2020;0;0
Ytre Holmebukt;SN91080;28.07.2020;0;0
Ytre Holmebukt;SN91080;29.07.2020;0;0
Ytre Holmebukt;SN91080;30.07.2020;0;0
Ytre Holmebukt;SN91080;31.07.2020;0;0
Ytre Holmebukt;SN91080;01.08.2020;0;0
Ytre Holmebukt;SN91080;02.08.2020;0;0
Ytre Holmebukt;SN91080;03.08.2020;0;0
Ytre Holmebukt;SN91080;04.08.2020;0;0
Ytre Holmebukt;SN91080;05.08.2020;0;30,3
Ytre Holmebukt;SN91080;06.08.2020;0;0,1
Ytre Holmebukt;SN91080;07.08.2020;0;1
Ytre Holmebukt;SN91080;08.08.2020;0;0
Ytre Holmebukt;SN91080;09.08.2020;0;38,2
Ytre Holmebukt;SN91080;10.08.2020;0;0,5
Ytre Holmebukt;SN91080;11.08.2020;0;0,3
Ytre Holmebukt;SN91080;12.08.2020;0;0
Ytre Holmebukt;SN91080;13.08.2020;0;0
Ytre Holmebukt;SN91080;14.08.2020;0;6,3
Ytre Holmebukt;SN91080;15.08.2020;0;5,1
Ytre Holmebukt;SN91080;16.08.2020;0;21,2
Ytre Holmebukt;SN91080;17.08.2020;0;7,1
Ytre Holmebukt;SN91080;18.08.2020;0;3,7
Ytre Holmebukt;SN91080;19.08.2020;0;1,6
Ytre Holmebukt;SN91080;20.08.2020;0;0,6
Ytre Holmebukt;SN91080;21.08.2020;0;0
Ytre Holmebukt;SN91080;22.08.2020;0;1,2
Ytre Holmebukt;SN91080;23.08.2020;0;15,1
Ytre Holmebukt;SN91080;24.08.2020;0;11,3
Ytre Holmebukt;SN91080;25.08.2020;0;4,2
Ytre Holmebukt;SN91080;26.08.2020;0;0,1
Ytre Holmebukt;SN91080;27.08.2020;0;0,8
Ytre Holmebukt;SN91080;28.08.2020;0;1
Ytre Holmebukt;SN91080;29.08.2020;0;2,6
Ytre Holmebukt;SN91080;30.08.2020;0;0,6
Ytre Holmebukt;SN91080;31.08.2020;0;0
