;OBJECTID;skredTidspunkt;noySkredTidspunkt;registrertDato;registrertAv;regStatus;objektType;centerCoordinateX;centerCoordinateY;skredID;ansvarligInstitusjon;eksposisjonUtlopsomr;snittHelningUtlopssomr_gr;maksHelningUtlopsomr_gr;minHelningUtlopsomr_gr;hoydeStoppSkred_moh;noyHoydeStoppSkred;baneFlagg;veiFlagg;elvenettFlagg;bebyggelseProsent;jordbrukProsent;breProsent;SHAPE.STArea();SHAPE.STLength();T1;estimatedDate;DET;Date;geometry
0;3618849;1575155841000;6 timer;1575178092000;Sentinel-1;Godkjent kvalitet C;Utlop;663034.9999936782;7705769.999965001;{CF4383EC-829A-450F-ADF5-010141C14D82};NVE satellitt;-63;17;34;3;601;50m;0;0;1;0;0.0;0.0;45240.5;1643.8994949366115;2019-12-01 05:28:12;2019-11-30 23:17:21;201912010528;201911302317;POLYGON ((19.153235574021494 69.41196718939486, 19.15371844408216 69.4119556366109, 19.153685616392867 69.41178569571818, 19.153683888635108 69.41177675146037, 19.153709302623522 69.41177614338774, 19.154192168111567 69.41176458930266, 19.1541593370172 69.41159464850821, 19.154157609080233 69.41158570425559, 19.154183022827986 69.41158509611448, 19.154665883743437 69.4115735407283, 19.154600215299496 69.41123365932557, 19.15411736196255 69.41124521450413, 19.15409022073661 69.41123687838056, 19.15405566351804 69.41105799329942, 19.154053935673243 69.41104904904506, 19.154079348791214 69.4110484409212, 19.154562197740717 69.41103688586283, 19.15452936499291 69.41086694513376, 19.154527636968915 69.41085800088456, 19.154553049846236 69.41085739269225, 19.15506130707003 69.41084522806626, 19.155086719915083 69.410844619796, 19.15508844816999 69.41085356403886, 19.15512128530514 69.41102350464774, 19.156086980255594 69.41100038740885, 19.156054135542348 69.41083044700768, 19.1560524068886 69.41082150277575, 19.156077819673722 69.41082089436074, 19.156560662299096 69.41080933377039, 19.15652954301595 69.41064833769427, 19.156046703980117 69.41065989818621, 19.15601956275937 69.41065156236357, 19.155986719184927 69.41048162194097, 19.15448738567398 69.41051751121267, 19.15446024523142 69.41050917514377, 19.15432201308224 69.40979363502512, 19.154320285242587 69.40978469077247, 19.15434569686046 69.40978408261464, 19.155870391121468 69.40974758635384, 19.15589580264562 69.40974697796965, 19.15589753113595 69.40975592220445, 19.155930372744162 69.4099258626606, 19.156921429173455 69.40990213255766, 19.156946840846036 69.40990152401926, 19.15694856978689 69.40991046824199, 19.15698141995522 69.41008040846849, 19.157464245430187 69.41006884542443, 19.15748965728192 69.41006823680604, 19.157491386463416 69.41007718102246, 19.157524241203983 69.41024712112865, 19.159023550118945 69.41021120573596, 19.159048962088324 69.41021059688916, 19.159050691930275 69.41021954108773, 19.15908355921955 69.41038948085482, 19.159566390333655 69.41037791195103, 19.15959180248218 69.41037730302423, 19.159593532564788 69.41038624721645, 19.1596627371306 69.41074401488162, 19.159664467276276 69.41075295907262, 19.159639054686952 69.41075356801151, 19.15915621519752 69.41076513714505, 19.15929288498325 69.41147172860035, 19.15929461504206 69.41148067279482, 19.159269201582294 69.41148128168251, 19.158786345554486 69.41149284984333, 19.158819212975512 69.41166278964234, 19.158820942855154 69.41167173384198, 19.1587955291547 69.4116723426612, 19.15828725482257 69.41168451826603, 19.158260111441102 69.4116761828013, 19.15822724840762 69.41150624288198, 19.157261533400927 69.41152937208138, 19.157328974144935 69.41187819654154, 19.15733070342553 69.41188714075788, 19.157305289422876 69.41188774936018, 19.15682242308027 69.4118993120983, 19.156924440970197 69.41242702115132, 19.156926170133094 69.41243596537167, 19.15690075546986 69.41243657391699, 19.156417876576246 69.41244813557273, 19.156485306940382 69.41279696036906, 19.156487035954825 69.41280590459402, 19.156461620840933 69.41280651307662, 19.15595331824025 69.41281868194893, 19.155926174310586 69.41281034612227, 19.1558587529535 69.4124615210791, 19.15537587286244 69.41247307984345, 19.155348729593378 69.41246474392416, 19.155315888156373 69.41229480339273, 19.154350134229638 69.41231791654212, 19.15438296808742 69.41248785728119, 19.15438469620056 69.41249680153032, 19.154359281383627 69.41249740970447, 19.153876399569942 69.41250896430806, 19.153978348577454 69.41303667529533, 19.15398007657283 69.41304561954848, 19.153954661095284 69.41304622766565, 19.153446351221795 69.41305838922952, 19.15341920794758 69.41305005300926, 19.15321188737095 69.41197674166196, 19.15321015979241 69.411967797399, 19.153235574021494 69.41196718939486))
1;3618852;1575155841000;6 timer;1575178092000;Sentinel-1;Godkjent kvalitet B;Utlop;662684.9999935804;7714899.999964412;{41AE6C30-B6B5-4ABC-B4E3-62DB3DD3FB1D};NVE satellitt;60;11;25;3;559;50m;0;0;0;0;0.0;0.0;17522.0;725.6568542494923;2019-12-01 05:28:12;2019-11-30 23:17:21;201912010528;201911302317;POLYGON ((19.161842804499077 69.49335073119302, 19.16232750105925 69.49333914845195, 19.16222491125649 69.4928114479638, 19.162223172492826 69.49280250388685, 19.162248682187677 69.492801894249, 19.163243559076182 69.49277811546449, 19.163210514819504 69.49260817821693, 19.16320877566362 69.49259923415097, 19.163234285084762 69.49259862436979, 19.163718963791553 69.49258703781905, 19.1636859161038 69.49241710067038, 19.163684176767337 69.49240815660963, 19.16370968594581 69.4924075467597, 19.164219869189356 69.492395348978, 19.164245378335234 69.49239473904979, 19.16424711790448 69.49240368310417, 19.164280170015147 69.4925736201319, 19.16476484751268 69.49256203067756, 19.16479035683913 69.492561420669, 19.164792096651052 69.49257036471701, 19.16499914535568 69.49363470622347, 19.165483846389492 69.49362311469291, 19.16550935695469 69.49362250457509, 19.165511097164586 69.49363144861384, 19.165544161447624 69.49380138534443, 19.166028865912565 69.4937897922874, 19.166054376658344 69.49378918208923, 19.166056117110948 69.4937981261216, 19.16612573648872 69.4941558873927, 19.166127477005013 69.49416483142387, 19.166101965814764 69.49416544163421, 19.164571291557532 69.49420204743235, 19.1645440404124 69.49419371336617, 19.164510983364536 69.49402377642724, 19.16351605029364 69.49404756262871, 19.16348879975242 69.49403922839548, 19.163420964137558 69.49369040998292, 19.16242604515391 69.493714189918, 19.162398795459303 69.49370585551135, 19.162365756266645 69.49353591809967, 19.161881055283107 69.49354750096161, 19.1618538060118 69.49353916646827, 19.16181903278342 69.49336028485467, 19.16181729413829 69.4933513407737, 19.161842804499077 69.49335073119302))
2;3618853;1575155841000;6 timer;1575178092000;Sentinel-1;Godkjent kvalitet B;Utlop;663384.9999934454;7709019.999963336;{629BA767-98D4-47C6-B329-E1B8300FDFB8};NVE satellitt;-155;30;38;19;487;50m;0;0;0;0;0.0;0.0;99594.5;2793.556349186104;2019-12-01 05:28:12;2019-11-30 23:17:21;201912010528;201911302317;POLYGON ((19.158817317806903 69.44095600201034, 19.158748016383427 69.44059823521454, 19.15874628387946 69.44058929104406, 19.158771731746917 69.44058868211874, 19.160273153196705 69.4405527489456, 19.16024022391398 69.44038281002949, 19.160238490809263 69.44037386587573, 19.160263938373635 69.44037325673314, 19.161790789411793 69.44033670137608, 19.16181623688203 69.44033609200676, 19.16181797063938 69.44034503614266, 19.161850912322382 69.44051497471901, 19.162334417963574 69.44050339588603, 19.16235986561347 69.44050278643661, 19.162361599612225 69.44051173056613, 19.16239454588189 69.44068166902187, 19.165397382570454 69.44060972721012, 19.165364412700335 69.44043978940142, 19.16536267745946 69.44043084530594, 19.16538812492558 69.44043023541417, 19.16587162648838 69.44041864676443, 19.16577097295063 69.43989988951165, 19.165287482987495 69.43991147784322, 19.16526030098215 69.43990314362105, 19.16522559831186 69.43972426167107, 19.165223863194566 69.43971531757327, 19.16524930981861 69.4397147077046, 19.16573279538203 69.43970311949367, 19.16569982444723 69.43953318173959, 19.165698089150318 69.43952423764698, 19.165723535532965 69.43952362770976, 19.166207016509688 69.43951203819614, 19.16617404216233 69.43934210054076, 19.166172306685812 69.43933315645333, 19.166197752827056 69.43933254644755, 19.167724518474035 69.43929593929809, 19.167749964521022 69.43929532906557, 19.167751700650093 69.43930427313508, 19.16778468739607 69.43947421045026, 19.168777090232382 69.43945040825754, 19.16880253642804 69.4394497978706, 19.168804273009023 69.43945874192796, 19.168837268341488 69.43962867901254, 19.169804230629907 69.43960548133391, 19.169771227698295 69.43943554445796, 19.169769490717357 69.43942660041157, 19.16979493685271 69.43942598987962, 19.172314096597542 69.43936552882089, 19.17228107425635 69.43919559248313, 19.172279336253865 69.43918664846505, 19.172304782024057 69.43918603756725, 19.173297165854546 69.43916220965319, 19.173264136102663 69.43899227352419, 19.173262397710143 69.43898332951711, 19.173287843207948 69.4389827184764, 19.173771307372228 69.43897110799685, 19.17373827420918 69.4388011719667, 19.17373653563713 69.43879222796483, 19.17376198089349 69.43879161685557, 19.174779789879107 69.43876716943781, 19.17480523507201 69.43876655817617, 19.17480697408608 69.43877550216591, 19.174840015647423 69.4389454379652, 19.175323478017713 69.43893382317802, 19.17534892339014 69.43893321183626, 19.17535066264565 69.43894215581962, 19.175418494818178 69.4392909711479, 19.17590196459864 69.43927935472847, 19.175927410361076 69.4392787433008, 19.17592914988901 69.43928768727721, 19.175962201213945 69.43945762282341, 19.176954592950114 69.43943377401973, 19.176980038861092 69.43943316243761, 19.176981778840986 69.43944210640186, 19.177016578764064 69.43962098568068, 19.177018318776486 69.43962992964433, 19.176992872633964 69.4396305412328, 19.176509395631765 69.43964216070792, 19.17657550925245 69.43998203152451, 19.17705899385372 69.43997041184038, 19.177084440396193 69.43996980024089, 19.17708618046902 69.43997874420337, 19.17711924214711 69.44014867948535, 19.17811166430483 69.44012482398024, 19.178137110995834 69.4401242122263, 19.178138851520657 69.44013315617663, 19.178173662342548 69.44031203517724, 19.17817540289991 69.44032097912697, 19.178149955977347 69.4403215908873, 19.17766646415422 69.44033321362727, 19.17769953103882 69.44050314877654, 19.177701271416662 69.44051209273147, 19.1776758242526 69.44051270442327, 19.177192327840984 69.44052432586084, 19.17722539131453 69.44069426110907, 19.17722713151284 69.4407032050692, 19.17720168410727 69.44070381669245, 19.173155526922244 69.44080101750595, 19.173188558984865 69.44097095362285, 19.173190297529953 69.44097989762872, 19.1731648496661 69.44098050866302, 19.17217238176875 69.44100433610117, 19.17220540641932 69.44117427242682, 19.172207144574298 69.44118321644368, 19.172181696438013 69.44118382733508, 19.169636874996332 69.44124489770306, 19.169609689622558 69.44123656417268, 19.16954194466033 69.44088774634291, 19.16905843480876 69.44089934522034, 19.16903125009752 69.44089101159712, 19.168998251023094 69.44072107457933, 19.168005789834687 69.44074487822705, 19.167978605724112 69.44073654443723, 19.16794561523727 69.44056660718883, 19.166978607451437 69.44058979468772, 19.16704630976911 69.440938613667, 19.16704804575689 69.44094755774282, 19.167022597732377 69.44094816787923, 19.166539084973014 69.44095975976475, 19.16660504565315 69.44129963484356, 19.167088566012964 69.44128804274952, 19.1671140144375 69.44128743260214, 19.167115750485554 69.44129637667682, 19.167185193674932 69.44165413964019, 19.167186929786354 69.44166308371369, 19.167161480919674 69.44166369387321, 19.165634546090544 69.44170029664159, 19.165607361670883 69.44169196248295, 19.16553967998626 69.44134314289592, 19.165056157435515 69.44135473069271, 19.165028973678396 69.44134639644123, 19.164926600417154 69.4408186945885, 19.16395957758563 69.4408418653569, 19.164027231843058 69.44119068566475, 19.164028966598494 69.44119962977463, 19.164003518178042 69.44120023947073, 19.163519997896113 69.44121182299082, 19.163552954542503 69.44138176118267, 19.163554689118282 69.44139070529772, 19.163529240456405 69.44139131492528, 19.162511292714974 69.44141569697919, 19.16248410985616 69.44140736232711, 19.162451161610587 69.44123742390502, 19.161967639539096 69.44124900311682, 19.161940457101377 69.44124066837833, 19.161907513442824 69.44107072983559, 19.161423994785093 69.44108230752522, 19.161396812768462 69.44107397270025, 19.16136387369677 69.44090403403689, 19.160371394436307 69.44092779419417, 19.160344213020448 69.44091945920262, 19.16031128253574 69.44074952030908, 19.15934425714587 69.4407726654329, 19.15937718003006 69.44094260453463, 19.159378912828867 69.44095154869757, 19.15935346455167 69.44095215771307, 19.158844498683703 69.44096433724219, 19.158817317806903 69.44095600201034), (19.173117279968825 69.44060424935749, 19.17357533329562 69.44059325032323, 19.17354403748049 69.44043225828503, 19.1730859875641 69.44044325722555, 19.173117279968825 69.44060424935749))
3;3619249;1575241794000;6 timer;1575264032000;Sentinel-1;Godkjent kvalitet A;Utlop;665354.999992501;7710989.999956548;{B487858E-5CF9-4293-A573-BC6730B6AB51};NVE satellitt;88;17;20;10;123;50m;0;0;0;0;0.0;0.0;15522.0;725.6568542494923;2019-12-02 05:20:32;2019-12-01 23:09:54;201912020520;201912012309;POLYGON ((19.22169209320327 69.45632506474642, 19.22370377998458 69.45627621644958, 19.223670321639172 69.45610629163306, 19.223668560689312 69.45609734822135, 19.223694024805418 69.45609672974558, 19.225731149010223 69.45604723963078, 19.225756612999223 69.45604662085371, 19.225758374813328 69.45605556424137, 19.225827086787383 69.45640435633727, 19.226310910290366 69.45639259864339, 19.226336374669568 69.45639197978022, 19.22633813675724 69.45640092316084, 19.22637161672131 69.45657084738701, 19.227874024752108 69.4565343275294, 19.227899489247896 69.45653370843716, 19.227901251999356 69.45654265179961, 19.227936507358358 69.45672151904218, 19.2279382701428 69.45673046240398, 19.22791280541513 69.45673108150265, 19.227428975291076 69.45674284367078, 19.22746246448855 69.45691276765109, 19.22746422709359 69.45692171101818, 19.22743876212372 69.45692233004833, 19.22695492739773 69.45693409091439, 19.226988413186564 69.45710401499487, 19.226990175612205 69.45711295836723, 19.226964710400118 69.45711357732884, 19.225436794802 69.4571507082189, 19.22540956772202 69.45714238356308, 19.225340859833242 69.45679359130918, 19.222819828329342 69.45685482647343, 19.222792602630893 69.45684650140345, 19.222759150477863 69.45667657639855, 19.222275318365778 69.4566883242501, 19.22224809308894 69.45667999909341, 19.22221464553718 69.45651007396602, 19.22173081683442 69.45652182029282, 19.221703591979193 69.45651349504944, 19.221668388888943 69.45633462636503, 19.221666628750903 69.45632568293053, 19.22169209320327 69.45632506474642))
4;3619250;1575241794000;6 timer;1575264032000;Sentinel-1;Godkjent kvalitet B;Utlop;665834.9999925233;7702909.999956578;{92BE6D59-40DF-41C1-9558-6649D7A69C8D};NVE satellitt;170;28;37;23;200;50m;0;0;0;0;0.0;0.0;26722.5;726.2426406871192;2019-12-02 05:20:32;2019-12-01 23:09:54;201912020520;201912012309;POLYGON ((19.220799838552605 69.3842865944507, 19.220694657118134 69.38374998324245, 19.220692904141696 69.38374103972141, 19.22071828292576 69.38374042196837, 19.221200479527237 69.38372868395643, 19.22116716929434 69.383558757162, 19.221165416139748 69.38354981364621, 19.221190794683398 69.38354919582488, 19.222180556671635 69.3835250979033, 19.22214723907773 69.38335517131942, 19.222145485535727 69.38334622781473, 19.22217086380783 69.383345609851, 19.225723806531917 69.38325905836344, 19.225749184584412 69.38325843987732, 19.225750939612237 69.38326738334057, 19.225856244133464 69.3838039910816, 19.22585799925635 69.38381293454306, 19.225832620555103 69.3838135530473, 19.225350424935467 69.38382530392379, 19.225489068033923 69.38453183774651, 19.225490823072178 69.38454078121143, 19.22546544350262 69.38454139966491, 19.224983231385025 69.38455314957733, 19.2250165734314 69.38472307551635, 19.22501832829153 69.38473201898653, 19.224992948481507 69.38473263737176, 19.222454959612755 69.38479445718194, 19.22242782585272 69.38478613169295, 19.22239450408745 69.38461620518812, 19.221404692309314 69.38464030449819, 19.221377559146045 69.38463197884288, 19.22130917998542 69.38428318184316, 19.220826971056844 69.38429492019881, 19.220799838552605 69.3842865944507))
5;3619251;1575241794000;6 timer;1575264032000;Sentinel-1;Godkjent kvalitet B;Utlop;666484.999992161;7704529.999954008;{DFFA5C16-A4FE-4A27-99FB-BA8F918EF594};NVE satellitt;-16;28;39;13;326;50m;0;0;0;0;0.0;0.0;33841.0;1044.4852813742384;2019-12-02 05:20:32;2019-12-01 23:09:54;201912020520;201912012309;POLYGON ((19.238301033648817 69.39805812079456, 19.23826580175964 69.39787925473054, 19.238264040181615 69.39787031142703, 19.238289435023525 69.39786969105037, 19.23877193672244 69.39785790318983, 19.238703228227553 69.39750911455836, 19.238701466502572 69.39750017125952, 19.238726860894076 69.39749955082044, 19.239717240941655 69.39747535080477, 19.23968376050169 69.39730542834408, 19.239681998388928 69.39729648505639, 19.23970739250827 69.39729586447486, 19.242246796535042 69.39723378759925, 19.242272190496223 69.39723316664328, 19.242273953677657 69.39724210990104, 19.24230745442247 69.39741203179328, 19.24380570772213 69.39737538848048, 19.243831101798854 69.39737476729616, 19.243832865640243 69.39738371053573, 19.243866378924373 69.39755363208215, 19.244348870065597 69.39754182876385, 19.244374264320516 69.39754120749949, 19.24437602840279 69.3975501507326, 19.244444828833977 69.39789893680097, 19.244927327342477 69.39788713185061, 19.24495272198515 69.39788651050036, 19.24495448633966 69.3978954537264, 19.245093875300007 69.39860196849091, 19.24557638913928 69.39859016168526, 19.24560178458883 69.39858954023735, 19.24560354927831 69.39859848345516, 19.24563884339735 69.39877734780502, 19.245640608119764 69.3987862910222, 19.24561521243969 69.39878691247657, 19.244624779694078 69.39881114630451, 19.24465830175414 69.39898106764846, 19.244660066088763 69.39899001087679, 19.244634670136413 69.39899063218871, 19.24412675076021 69.39900305764833, 19.24409959067085 69.39899473564758, 19.24406607299087 69.39882481418093, 19.243583552954895 69.39883661681172, 19.243556393284674 69.39882829472448, 19.24352288018211 69.39865837313498, 19.24306575915971 69.39866955316752, 19.243099268678616 69.3988394748574, 19.243101032353177 69.39884841810392, 19.243075636516362 69.39884903918748, 19.242567719451053 69.39886146008003, 19.242540560137307 69.39885313783272, 19.242507054998452 69.3986832160202, 19.240500792896896 69.39873226328892, 19.240473634537032 69.39872394071504, 19.240440145920854 69.39855401844531, 19.23995762968158 69.39856581098978, 19.239930471740863 69.3985574883294, 19.239859979684105 69.39819975696437, 19.239858217414785 69.39819081367965, 19.239883612581895 69.39819019306881, 19.24036612045947 69.39817840075837, 19.24033439610731 69.39801742173368, 19.238328190332133 69.39806644371436, 19.238301033648817 69.39805812079456))
6;3619252;1575241794000;6 timer;1575264032000;Sentinel-1;Godkjent kvalitet A;Utlop;665614.9999923036;7713319.99995517;{A401A121-5F21-4C72-A0F5-6DEB7F3ECA1A};NVE satellitt;69;17;19;14;126;50m;0;0;0;0;0.0;0.0;14282.0;685.6568542494923;2019-12-02 05:20:32;2019-12-01 23:09:54;201912020520;201912012309;POLYGON ((19.233936236984913 69.47687552491753, 19.23442051678423 69.47686374315433, 19.234386937013262 69.47669382109318, 19.23438516967265 69.4766848778265, 19.234410657856166 69.47668425770235, 19.23746922843463 69.4766098157714, 19.237494716427403 69.47660919519669, 19.237496485056383 69.47661813842748, 19.23756723150915 69.47697586763505, 19.237569000202804 69.47698481086464, 19.237543511766486 69.47698543145168, 19.237059231176932 69.47699722189812, 19.237092832642784 69.47716714336627, 19.23709460115676 69.47717608660115, 19.23706911247769 69.4771767071196, 19.23658482727576 69.47718849626287, 19.236616656994926 69.47734947459132, 19.23710094580875 69.47733768534745, 19.237126434677922 69.4773370648237, 19.237128203221854 69.47734600805802, 19.237198946272397 69.47770373740582, 19.237200714880988 69.4777126806389, 19.237175225568244 69.47771330117503, 19.236181141141127 69.47773749917883, 19.236214736977164 69.47790742082537, 19.23621650519483 69.47791636406961, 19.23619101560778 69.47791698446267, 19.235706713154137 69.47792877122302, 19.235740305575803 69.47809869297001, 19.235742073613757 69.47810763621955, 19.235716583783933 69.478108256544, 19.2352067868563 69.47812066225107, 19.23517952918776 69.4781123392413, 19.235145941181003 69.47794241737141, 19.2346616374993 69.477954201231, 19.234634380253254 69.4779458781344, 19.234563679032593 69.47758814761058, 19.23456191153439 69.47757920434687, 19.234587400774014 69.47757858419331, 19.235071696027457 69.47756680056833, 19.23500452423684 69.47722695674898, 19.234520236608706 69.47723874016172, 19.234492980333673 69.47723041703924, 19.234459399335044 69.47706049500121, 19.23397511512125 69.47707227688727, 19.23394785926866 69.47706395367798, 19.23391251571957 69.47688508824507, 19.23391074855866 69.4768761449731, 19.233936236984913 69.47687552491753))
7;3619649;1575308766000;12 timer;1575349901000;Sentinel-1;Godkjent kvalitet B;Utlop;666834.9999918528;7708649.999951869;{E0AC9BEC-6883-4588-9BF0-D6F7F7AAF3B9};NVE satellitt;-117;7;23;1;101;50m;0;1;0;0;0.0;0.0;6803.5;407.41421356237305;2019-12-03 05:11:41;2019-12-02 17:46:06;201912030511;201912021746;POLYGON ((19.256859453138514 69.43497857290706, 19.257342775350043 69.43496673066568, 19.257273630552984 69.43461795193333, 19.257271857641026 69.43460900888832, 19.25729729521576 69.4346083855871, 19.258289359399885 69.43458407394218, 19.258255666380975 69.43441415630535, 19.258253893079974 69.43440521327155, 19.25827933038129 69.43440458982764, 19.258788076076325 69.43439212016933, 19.258813513344514 69.43439149664742, 19.25881528687684 69.43440043967473, 19.25884898429103 69.43457035718822, 19.259332296082267 69.43455850945377, 19.259357733529182 69.43455788585166, 19.25935950730338 69.43456682887249, 19.25939320931308 69.43473674626249, 19.25987652450024 69.43472489700423, 19.25990196212588 69.43472427332193, 19.259903736141958 69.43473321633624, 19.259974698079482 69.43509093688475, 19.259976472160286 69.43509987989786, 19.259951034093003 69.43510050359257, 19.256898454558982 69.43517531998751, 19.256871243502836 69.43516700018363, 19.256835787876362 69.4349881391955, 19.256834015111604 69.43497919614576, 19.256859453138514 69.43497857290706))
8;3619650;1575308766000;12 timer;1575349901000;Sentinel-1;Godkjent kvalitet B;Utlop;669894.9999901019;7710909.999939568;{EC62E4B2-F5A9-45BD-B44C-396BE93647C9};NVE satellitt;-116;18;27;9;626;50m;0;0;0;0;0.0;0.0;34280.5;1083.8994949366115;2019-12-03 05:11:41;2019-12-02 17:46:06;201912030511;201912021746;POLYGON ((19.3377337307682 69.45329820610837, 19.337661406164624 69.45294052280939, 19.337659598082542 69.45293158072629, 19.337685054656387 69.45293094560311, 19.33816872925346 69.45291887755657, 19.338063851033503 69.45240023703298, 19.3375801880401 69.45241230474812, 19.337552924089895 69.45240399776894, 19.337516764686423 69.45222515606426, 19.337514956733155 69.4522162139787, 19.337540412464634 69.4522155788796, 19.3380240710568 69.45220351129015, 19.33798971624957 69.45203361177303, 19.337987908117924 69.45202466969288, 19.33801336360662 69.45202403452544, 19.338522473042346 69.45201133039583, 19.338547928497228 69.45201069515032, 19.338549736860507 69.45201963722384, 19.338620264284717 69.45236837806793, 19.33958758638087 69.45234423552657, 19.33955321895847 69.45217433636402, 19.339551410162873 69.45216539430253, 19.33957686576552 69.45216475890601, 19.340060521909688 69.452152685666, 19.340026151098403 69.45198278660611, 19.340024342124444 69.45197384455001, 19.340049797484298 69.45197320908518, 19.340558904342952 69.45196049900767, 19.340584359668966 69.45195986346478, 19.34058616887456 69.45196880551424, 19.34062054408691 69.45213870444834, 19.341613308757225 69.4521139151406, 19.341638764229362 69.45211327944297, 19.341640573888334 69.4521222214798, 19.341783542039718 69.45282864229144, 19.342267211708535 69.4528165628727, 19.342292667990773 69.45281592707664, 19.342294477989263 69.452824869105, 19.34232886826691 69.45299476763765, 19.342812541324463 69.45298268669184, 19.34283799778505 69.45298205081541, 19.342839808026383 69.45299099283713, 19.3428742029179 69.45316089124368, 19.343357879364156 69.45314880877078, 19.343383336003093 69.45314817281397, 19.34338514648726 69.45315711482905, 19.34349377848802 69.45369363567697, 19.34349558907055 69.45370257769017, 19.34347013177874 69.45370321366563, 19.342451838784157 69.45372864963602, 19.342424571286 69.45372034343323, 19.342390178927616 69.45355044493641, 19.341931950000426 69.45356188900713, 19.341966338757413 69.4537317876069, 19.341968148708105 69.45374072963816, 19.34194269131956 69.45374136539058, 19.34145900063097 69.45375344397996, 19.341529581751523 69.45410218340996, 19.341531391556085 69.45411112544602, 19.341505933714068 69.4541117611361, 19.339978460244062 69.45414989573806, 19.33995119315211 69.45414158914667, 19.339916819577187 69.4539716901013, 19.33943312240683 69.45398376308336, 19.33940585573612 69.45397545640496, 19.339371486775168 69.4538055572336, 19.338887792994353 69.45381762868858, 19.338860526744874 69.45380932192315, 19.33882616239777 69.45363942262583, 19.33834247200651 69.45365149255373, 19.33831520617827 69.45364318570131, 19.33824467893252 69.45329444476785, 19.337760995932413 69.45330651305441, 19.3377337307682 69.45329820610837))
9;3620056;1575457989000;1 dager;1575562506000;Sentinel-1;Godkjent kvalitet B;Utlop;663984.9999933308;7703869.999962419;{2150D442-AD45-4225-826F-40C0217E7D24};NVE satellitt;129;29;31;23;551;50m;0;0;0;0;0.0;0.0;6323.0;326.82842712474616;2019-12-05 16:15:06;2019-12-04 11:13:09;201912051615;201912041113;POLYGON ((19.1766994518696 69.39343264576029, 19.1787307767972 69.39338372494576, 19.178756168296328 69.39338311328542, 19.178757904772276 69.3933920572772, 19.178896827845556 69.39410757652426, 19.17889856444645 69.39411652051368, 19.178873172088217 69.39411713219772, 19.177349627771463 69.39415382645484, 19.177322499367833 69.39414549390536, 19.177289516586086 69.39397555776067, 19.176807063680364 69.3939871746458, 19.176779935695837 69.39397884201006, 19.17667579586242 69.39344220113577, 19.176674060245556 69.39343325712031, 19.1766994518696 69.39343264576029))
