;OBJECTID;skredTidspunkt;noySkredTidspunkt;registrertDato;registrertAv;regStatus;objektType;centerCoordinateX;centerCoordinateY;skredID;ansvarligInstitusjon;eksposisjonUtlopsomr;snittHelningUtlopssomr_gr;maksHelningUtlopsomr_gr;minHelningUtlopsomr_gr;hoydeStoppSkred_moh;noyHoydeStoppSkred;baneFlagg;veiFlagg;elvenettFlagg;bebyggelseProsent;jordbrukProsent;breProsent;SHAPE.STArea();SHAPE.STLength();T1;estimatedDate;DET;Date;geometry
0;3664852;1606754203000;1 dager;1606838331000;Sentinel-1;Godkjent kvalitet B;Utlop;662724.9999938048;7705789.9999659285;{04F2CB88-2263-4D61-918C-37DE75883AE3};NVE satellitt;65;29;35;14;598;50m;0;0;0;0;0.0;0.0;7242.0;445.6568542494923;2020-12-01 16:58:51;2020-11-30 17:36:43;202012011658;202011301736;POLYGON ((19.146998114407936 69.41139745731668, 19.149031210051866 69.41134887806012, 19.149056623685286 69.41134827066911, 19.149058349482484 69.41135721497979, 19.149091139920834 69.41152715687724, 19.15059055396249 69.4114913138986, 19.15061596771376 69.41149070627914, 19.150617694171462 69.411499650572, 19.150686753738263 69.41185742226313, 19.1506884802589 69.41186636655482, 19.15066306606675 69.41186697418635, 19.150180196124296 69.41187851848012, 19.1502129963191 69.41204846012586, 19.150214722660486 69.41205740442271, 19.15018930822769 69.41205801198576, 19.149172729657412 69.41208231146378, 19.1491455892612 69.41207397456573, 19.149112797443312 69.41190403269076, 19.14812163910153 69.4119277185953, 19.14809449930447 69.41191938153096, 19.14806171604763 69.4117494394268, 19.14757884714947 69.41176097648889, 19.147551707772312 69.41175263933827, 19.147518929087333 69.41158269711406, 19.147036063595234 69.41159423265665, 19.147008924637962 69.41158589541975, 19.14697442558672 69.41140700874129, 19.146972700650267 69.41139806440707, 19.146998114407936 69.41139745731668))
1;3664853;1606754203000;1 dager;1606838331000;Sentinel-1;Godkjent kvalitet B;Utlop;662064.9999940274;7707539.999967571;{E089B18B-8D69-4B9A-83AA-329E581CEC5B};NVE satellitt;58;28;34;23;564;50m;0;0;0;0;0.0;0.0;8882.5;486.2426406871192;2020-12-01 16:58:51;2020-11-30 17:36:43;202012011658;202011301736;POLYGON ((19.133725026988014 69.42734865293316, 19.13525100527572 69.42731233336592, 19.13527643820047 69.4273117279265, 19.135278159731584 69.42732067237641, 19.135310869113802 69.42749061691961, 19.13630276018529 69.42746700166116, 19.136328193259047 69.42746639606742, 19.13632991524137 69.42747534050531, 19.136362633196626 69.42764528481985, 19.13684586530234 69.42763377772403, 19.13687129855574 69.42763317205026, 19.136873020778992 69.42764211648185, 19.136905743312006 69.42781206067657, 19.137388978830934 69.42780055206022, 19.137414412263972 69.42779994630642, 19.137416134728166 69.42780889073171, 19.137450584333926 69.42798777923133, 19.137452306830305 69.427996723656, 19.137426873165946 69.4279973294161, 19.135926284256147 69.42803306268692, 19.135958999991566 69.42820300707704, 19.1359607218877 69.42821195151835, 19.135935287921097 69.42821255706129, 19.135426608267295 69.42822466713997, 19.135399452603718 69.42821632815728, 19.135366741263567 69.42804638364738, 19.13437482231826 69.42806999365844, 19.134347667254954 69.4280616545094, 19.13431496448823 69.42789170977092, 19.133831725047813 69.42790320985765, 19.1338045704051 69.42789487062228, 19.133701314849077 69.42735820261366, 19.133699593969848 69.42734925814598, 19.133725026988014 69.42734865293316))
2;3664854;1606754203000;1 dager;1606838331000;Sentinel-1;Godkjent kvalitet B;Utlop;670044.9999902276;7705479.999940343;{56989371-DC32-4D1A-BE5F-087D46AB6623};NVE satellitt;22;28;40;21;572;50m;0;0;0;0;0.0;0.0;11362.0;565.6568542494923;2020-12-01 16:58:51;2020-11-30 17:36:43;202012011658;202011301736;POLYGON ((19.332880601864712 69.40380110163721, 19.33440452026409 69.40376304162004, 19.334429918855253 69.40376240717332, 19.334431720890134 69.40377134934563, 19.334465959857155 69.40394125061351, 19.334948536766866 69.4039291953075, 19.334973935535576 69.40392856078063, 19.33497573781206 69.40393750294632, 19.335046027844175 69.40428624738442, 19.33552861210941 69.40427419044141, 19.335554011265256 69.40427355582838, 19.335555813815382 69.40428249798684, 19.335590062572184 69.40445239899195, 19.336072650210905 69.40444034052591, 19.33609804954429 69.40443970583273, 19.336099852336044 69.4044486479846, 19.33617196531976 69.40480633403382, 19.33617376817719 69.40481527618444, 19.336148368403663 69.40481591089022, 19.33566577240226 69.4048279695956, 19.335700023015544 69.40499787056524, 19.33570182569542 69.40500681272123, 19.335676425680255 69.40500744735884, 19.33415242183932 69.40504551883001, 19.334125219696336 69.40503721106685, 19.334090981428407 69.40486730974398, 19.333608382962208 69.40487936274242, 19.33358118123843 69.40487105489248, 19.33351091273613 69.40452230980222, 19.333028321626152 69.40453436116373, 19.333001120563175 69.40452605322041, 19.332965090602208 69.4043472094458, 19.332963289120976 69.40433826725676, 19.332988688438533 69.40433763301824, 19.333471275168087 69.40432558178206, 19.333402812102907 69.40398577880326, 19.332920232939355 69.40399782982306, 19.332893032601184 69.40398952185993, 19.33285700456109 69.40381067804861, 19.332855203175896 69.40380173585774, 19.332880601864712 69.40380110163721))
3;3664858;1606821268000;4 timer;1606838331000;Sentinel-1;Godkjent kvalitet B;Utlop;666104.9999920828;7712739.999953587;{9120B8A8-D907-42EB-B622-A064D6743EF9};NVE satellitt;-61;7;18;1;95;50m;0;1;0;0;0.0;0.0;6363.0;366.82842712474616;2020-12-01 16:58:51;2020-12-01 12:14:28;202012011658;202012011214;POLYGON ((19.246197561995164 69.47154444055575, 19.2466817138732 69.47153262514179, 19.24664804658056 69.47136270567226, 19.246646274633584 69.471353762542, 19.24667175608449 69.47135314064676, 19.24769101282541 69.47132826178569, 19.24771649421155 69.47132763973786, 19.247718266601805 69.47133658285574, 19.24775194231685 69.47150650209008, 19.248236092363875 69.47149468236198, 19.248261573929497 69.47149406023381, 19.24826334656244 69.47150300334519, 19.248369707430875 69.47203958997474, 19.248371480160213 69.47204853308432, 19.2483459979402 69.47204915523078, 19.247352190127174 69.47207341603904, 19.247385864262995 69.47224333533953, 19.24738763660173 69.47225227846027, 19.247362154107414 69.47225290046374, 19.24685250388922 69.47226533975112, 19.246825249255195 69.47225701854913, 19.24679157953144 69.47208709912546, 19.24630741521981 69.47209891488659, 19.246280161007995 69.47209059359774, 19.246173852069056 69.47155400551797, 19.246172080301573 69.47154506238239, 19.246197561995164 69.47154444055575))
4;3664863;1606711268000;12 timer;1606752462000;Sentinel-1;Godkjent kvalitet B;Utlop;670165.0000001891;7705409.999909855;{A587459E-3E6E-444B-8BA1-9AA5ACE6093B};NVE satellitt;69;30;35;27;548;50m;0;0;0;0;0.0;0.0;9682.0;485.65685424949237;2020-11-30 17:07:42;2020-11-30 05:41:08;202011301707;202011300541;POLYGON ((19.338072126939995 69.40422859504106, 19.33756414627187 69.4042412939511, 19.33753694385253 69.40423298672263, 19.337502680144 69.40406308615104, 19.33702010186714 69.40407514855725, 19.33699289986696 69.40406684124201, 19.336958640749284 69.40389694054478, 19.336476065845545 69.40390900142795, 19.33644886426453 69.40390069402594, 19.336414609737552 69.40373079320305, 19.33593203820697 69.40374285256321, 19.3359048370451 69.40373454507443, 19.335832732588564 69.40337685885423, 19.335830930009987 69.4033679166981, 19.33585632808752 69.4033672820446, 19.33633889125633 69.40335522292379, 19.336304638585965 69.40318532206544, 19.336302835829848 69.40317637991468, 19.33632823366579 69.40317574519305, 19.33683619004811 69.4031630499814, 19.336861587850407 69.40316241518191, 19.336863390837028 69.40317135732604, 19.336897647887238 69.40334125805903, 19.337888169099976 69.40331649775182, 19.33791356704774 69.403315862798, 19.33839612775085 69.40330379797072, 19.338421525666575 69.40330316294275, 19.33842332931392 69.40331210506828, 19.338457598918055 69.40348200544757, 19.33894016299386 69.40346993909728, 19.33896556108709 69.40346930398913, 19.338967364976057 69.40347824610805, 19.339075601247274 69.404014773187, 19.339077405234015 69.40402371530405, 19.339052006491123 69.4040243504308, 19.33856943007167 69.40403641713465, 19.33860370214238 69.40420631746679, 19.3386055059516 69.40421525958924, 19.338580106967076 69.40421589464782, 19.338072126939995 69.40422859504106))
5;3664864;1606754203000;1 dager;1606838331000;Sentinel-1;Godkjent kvalitet B;Utlop;662304.999993939;7707189.999966938;{46770357-D1A9-4B40-967C-51877A2F2C11};NVE satellitt;62;31;37;26;533;50m;0;0;0;0;0.0;0.0;6363.5;367.41421356237305;2020-12-01 16:58:51;2020-11-30 17:36:43;202012011658;202011301736;POLYGON ((19.139865763004764 69.42487517893578, 19.13972791071125 69.42415962679277, 19.139726187619665 69.42415068238984, 19.139751616665265 69.42415007630866, 19.14076877723221 69.42412583001682, 19.14079420621496 69.42412522378338, 19.140795929747988 69.42413416817429, 19.14082867716688 69.42430411159607, 19.141820414496117 69.42428046537138, 19.14184584362773 69.42427985898362, 19.141847567611855 69.42428880336249, 19.14191480418898 69.42463763411557, 19.142397965386515 69.42462611182486, 19.142423394907883 69.42462550535137, 19.142425119163583 69.42463444972334, 19.14245960459958 69.42481333715672, 19.142461328887485 69.4248222815281, 19.14243589913487 69.4248228880079, 19.13989291612802 69.42488351723172, 19.139865763004764 69.42487517893578))
6;3665249;1606711268000;12 timer;1606752462000;Sentinel-1;Godkjent kvalitet B;Utlop;661504.9999821503;7715299.999951821;{B98D6E66-7AC8-4B78-9274-0E9FA53DF734};NVE satellitt;-17;30;38;20;700;50m;0;0;0;0;0.0;0.0;19202.50415;806.2428406876323;2020-11-30 17:07:42;2020-11-30 05:41:08;202011301707;202011300541;POLYGON ((19.13434222979769 69.49706071589064, 19.134309406891486 69.4968907716142, 19.13430767939462 69.49688182722538, 19.134333194844025 69.49688122165328, 19.134817988089736 69.49686971507528, 19.134785161919087 69.49669977179154, 19.134783434241324 69.4966908274079, 19.13480894944814 69.496690221767, 19.135293738084677 69.49667871388134, 19.135260908476983 69.49650877069588, 19.135259180618313 69.49649982631742, 19.13528469558255 69.49649922060769, 19.13681559061387 69.4964628712009, 19.13684110548401 69.49646226526373, 19.136842833999058 69.49647120962437, 19.136877404624094 69.49665009683132, 19.136879133171547 69.49665904119136, 19.136853618068493 69.49665964713483, 19.136368830817425 69.49667115935272, 19.136401669489068 69.49684110229732, 19.136403397855638 69.49685004666256, 19.13643450871765 69.49701104523157, 19.136436237113525 69.49701998959624, 19.1364708053551 69.49719887688363, 19.13647253378338 69.4972078212477, 19.13644701801424 69.49720842713388, 19.135962218107384 69.49721993826262, 19.136029619755195 69.49756876866304, 19.136031348033427 69.49757771303172, 19.13600583180991 69.49757831885479, 19.13552102327009 69.49758982878514, 19.135553856826174 69.49775977189357, 19.135555584923498 69.4977687162674, 19.135530068457374 69.49776932202168, 19.13504525530788 69.49778083064432, 19.135045255480673 69.49778083153879, 19.135078085426578 69.49795077385103, 19.135079813342983 69.49795971823005, 19.135054296634245 69.4979603239155, 19.134569478875058 69.49797183123044, 19.134602305728993 69.49814177542989, 19.134604033464477 69.49815071981405, 19.134578516513116 69.49815132543068, 19.134093694144184 69.4981628314379, 19.134126517387674 69.49833277484115, 19.134128244942225 69.4983417192305, 19.134102727748246 69.49834232477829, 19.13359238354473 69.49835443495095, 19.13356513899677 69.49834609602475, 19.13353232017941 69.4981761525014, 19.133047496609258 69.4981876556039, 19.13302025248485 69.49817931659108, 19.13302025231214 69.4981793156966, 19.13298743827712 69.49800937294764, 19.132502618144834 69.49802087452404, 19.131992280389643 69.4980329790979, 19.13196503686973 69.4980246399181, 19.131895973149508 69.4976668633321, 19.131894246588097 69.49765791891686, 19.131919763038688 69.49765731369466, 19.132404575307103 69.49764581376436, 19.132371766909618 69.49747586997849, 19.132370040167274 69.49746692556843, 19.132395556375275 69.49746632027738, 19.132880364034456 69.49745481903933, 19.132847552199255 69.4972848753517, 19.132845825275975 69.49727593094678, 19.13287134124139 69.49727532558693, 19.133356144464088 69.4972638239356, 19.133323329191313 69.49709388034617, 19.133321602087115 69.49708493594646, 19.133347117809944 69.49708433051777, 19.13434222979769 69.49706071589064))
7;3665256;1606711268000;12 timer;1606752462000;Sentinel-1;Godkjent kvalitet B;Utlop;663164.9999771416;7711639.999870751;{11DA3704-2D2E-4B56-B514-820BF31AE373};NVE satellitt;26;26;41;14;645;50m;0;0;0;0;0.0;0.0;10962.006;565.6568542494923;2020-11-30 17:07:42;2020-11-30 05:41:08;202011301707;202011300541;POLYGON ((19.168897049000154 69.46389764195601, 19.168757944044795 69.46318211938426, 19.168756205295615 69.46317317535095, 19.16878167959048 69.46317256487397, 19.169265690898538 69.46316096510421, 19.169232650949528 69.46299102857547, 19.169230912020335 69.46298208454735, 19.169256386073215 69.46298147400174, 19.169765866805317 69.4629692623077, 19.16979134082565 69.46296865168392, 19.169793079986935 69.46297759570567, 19.16982612434578 69.4631475321135, 19.17031013444651 69.46313592944472, 19.170335608646837 69.46313531874073, 19.170337348050122 69.46314426275612, 19.170370397006934 69.46331419904293, 19.170854410527593 69.46330259485003, 19.17087988490792 69.46330198406582, 19.170881624553196 69.46331092807483, 19.17091467828209 69.46348086513508, 19.170916417958377 69.46348980914351, 19.170984266369018 69.46383862455546, 19.17146829132785 69.46382701861847, 19.171493766310178 69.46382640774246, 19.171493766484172 69.46382640863686, 19.17149550643349 69.46383535263836, 19.171528565591156 69.46400528776665, 19.172012593969967 69.46399368030545, 19.172038069132288 69.46399306934923, 19.172039809323635 69.46400201334434, 19.172074613476227 69.46418089324054, 19.17207635370014 69.46418983723503, 19.172050878305697 69.46419044819761, 19.171566845516665 69.46420205577982, 19.171566845690666 69.46420205667422, 19.17159990605634 69.46437199177988, 19.17160164610025 69.46438093577959, 19.17157617046377 69.46438154667354, 19.170557143733138 69.46440597937979, 19.17052992843232 69.46439764610929, 19.17049687648634 69.46422771077269, 19.17001284190019 69.46423931404145, 19.169985627021415 69.46423098068436, 19.16998562684748 69.46423097978995, 19.16995257949996 69.46406104433235, 19.169468548334113 69.46407264607694, 19.169441333877373 69.46406431263325, 19.169441333703464 69.46406431173885, 19.16940829095426 69.46389437616028, 19.168924263208744 69.4639059763807, 19.168897049174046 69.46389764285044, 19.168897049000154 69.46389764195601))
8;3665649;1606711268000;12 timer;1606752462000;Sentinel-1;Godkjent kvalitet B;Utlop;663444.9999900451;7711499.999906719;{A8DD486D-EB72-4F00-BBC5-6751FF5D65D3};NVE satellitt;21;26;34;13;669;50m;0;0;0;0;0.0;0.0;22881.5072;885.0712678132998;2020-11-30 17:07:42;2020-11-30 05:41:08;202011301707;202011300541;POLYGON ((19.176462220921117 69.46318602145928, 19.175952739218555 69.46319825185356, 19.17592552339014 69.46318991942726, 19.175892430706828 69.46301998434026, 19.175408426659125 69.46303160250494, 19.1753812112527 69.46302326999205, 19.175278465873465 69.46249557641661, 19.174794473262125 69.46250719283694, 19.174767258761698 69.46249886022468, 19.174697612451236 69.46214110157794, 19.17469587132528 69.46213215761117, 19.174721344193088 69.46213154627, 19.175205328386536 69.46211993008085, 19.175205328212407 69.46211992918647, 19.1751722432798 69.46194999481685, 19.175170501973913 69.4619410508553, 19.175195974599717 69.46194043944548, 19.17567995419509 69.46192882195236, 19.175646865669687 69.46175888678735, 19.175645124183863 69.461749942831, 19.17561203624817 69.46158000765499, 19.17561029479339 69.46157106369805, 19.175635766966234 69.46157045222542, 19.17716409449642 69.46153375705792, 19.17718956657458 69.4615331453583, 19.177191308683327 69.46154208929725, 19.177224409044527 69.461712024132, 19.17770838206857 69.46170040012773, 19.17773385432664 69.4616997883479, 19.177733854500868 69.46169978924227, 19.178217827109144 69.46168816471837, 19.178243299336156 69.46168755286412, 19.178245041897878 69.4616964967909, 19.17831300319028 69.46204531080717, 19.178314745814117 69.4620542547328, 19.178382709180525 69.46240306691485, 19.178866697057806 69.46239143964188, 19.17889217009762 69.46239082769, 19.178893912994543 69.46239977160867, 19.178928771259123 69.46257864997565, 19.178930514188668 69.4625875938937, 19.17890504091678 69.46258820585196, 19.178421048630135 69.46259983324609, 19.17845241800409 69.46276082476466, 19.178936414072773 69.46274919816577, 19.17896188753454 69.46274858620228, 19.17896363049359 69.46275753011977, 19.178996747010657 69.46292746454655, 19.17999021903621 69.46290359484239, 19.18001569264682 69.46290298272424, 19.180017436058897 69.46291192662956, 19.18005230462678 69.4630908047296, 19.18005404807149 69.46309974863429, 19.1800285742288 69.4631003607588, 19.179544570922452 69.46311199041732, 19.179577692658334 69.46328192471118, 19.179579435923127 69.4632908686211, 19.179553961838376 69.46329148067697, 19.179044479817076 69.46330372101299, 19.179017262666996 69.46329538907442, 19.178984145340785 69.46312545465936, 19.178500140824326 69.4631370814189, 19.17847292409622 69.46312874939373, 19.178439811369003 69.4629588148574, 19.17747180843836 69.46298206309014, 19.17750491354894 69.46315199783577, 19.177506655938707 69.46316094176944, 19.17748118194069 69.4631615535218, 19.176997175857604 69.46317317700408, 19.17697170182854 69.46317378868204, 19.176462220921117 69.46318602145928))
9;3665651;1606711268000;12 timer;1606752462000;Sentinel-1;Godkjent kvalitet B;Utlop;663264.9999766331;7714239.999906689;{ECB1CA68-4F5F-462C-9BEA-4855C6AAE5B6};NVE satellitt;-5;29;53;15;778;50m;0;0;0;0;0.0;0.2;57400.5222;1403.8996949373075;2020-11-30 17:07:42;2020-11-30 05:41:08;202011301707;202011300541;POLYGON ((19.175058134647514 69.48765197869807, 19.175025005809346 69.48748204390428, 19.174540449404468 69.48749366148283, 19.174513203024226 69.48748532895448, 19.174480078795764 69.48731539403944, 19.17399552581839 69.48732701009185, 19.17396827986116 69.48731867747675, 19.173898555000818 69.48696091949344, 19.17389681191119 69.48695197554326, 19.17392231427088 69.48695136422151, 19.174406858809466 69.48693974840049, 19.174375479655207 69.48677875739665, 19.17338089505082 69.48680259874098, 19.173353650001783 69.48679426602645, 19.173285680119584 69.48644545169905, 19.172801146052315 69.48645706436878, 19.17277390166885 69.48644873156118, 19.172739050497107 69.48626985228522, 19.172737307954847 69.48626090832113, 19.172762809530767 69.48626029717161, 19.17426739975864 69.48622423275566, 19.174234279696716 69.4860542977626, 19.174232536551116 69.48604535381533, 19.17425803782227 69.48604474244806, 19.174742561678833 69.486033125762, 19.17470943818985 69.48586319086809, 19.17470769486388 69.48585424692602, 19.174733195892458 69.48585363549003, 19.175243216137513 69.48584140598783, 19.175268717133434 69.48584079447357, 19.175270460692026 69.48584973840929, 19.175303588600773 69.48601967318199, 19.176808156909004 69.48598358601079, 19.176833658023053 69.48598297426722, 19.176833658197467 69.48598297516156, 19.177802699378145 69.48595972614433, 19.177769551781534 69.48578979191176, 19.17776780718675 69.48578084800448, 19.177793308028637 69.48578023612139, 19.178303324539517 69.48576799767704, 19.17832882534871 69.4857673857157, 19.17833057017611 69.4857763296166, 19.178363722192387 69.48594626372788, 19.179868279481706 69.48591015017729, 19.179893780408957 69.48590953798659, 19.179893780583505 69.48590953888096, 19.18190834891518 69.48586116404232, 19.181933849717833 69.48586055155357, 19.181935596056622 69.48586949541321, 19.181970523159595 69.4860483726002, 19.181972269531105 69.48605731645922, 19.181946768495845 69.48605792895438, 19.181462248529844 69.48606956565439, 19.18149542586658 69.48623949908101, 19.18149717205777 69.48624844294528, 19.181471670779885 69.48624905537172, 19.180987146203993 69.48626069076624, 19.18105524062817 69.48660950167641, 19.1810569866702 69.48661844554532, 19.181031484938202 69.48661905790887, 19.1805469517343 69.48663069210822, 19.18057837677595 69.48679168095377, 19.181062913596183 69.48678004665508, 19.181088415518513 69.48677943428632, 19.181090161590134 69.48678837815469, 19.181160005732586 69.48714613286491, 19.181161751868082 69.48715507673207, 19.18113624950163 69.48715568911304, 19.18065170424304 69.48716732364345, 19.180684877095075 69.48733725722424, 19.180686623050235 69.48734620109663, 19.180661120441133 69.48734681340889, 19.180176570746813 69.48735844752807, 19.18015106810656 69.48735905976581, 19.179666517820355 69.4873706924691, 19.179641015148952 69.4873713046323, 19.1791564640964 69.48738293502527, 19.179187879960143 69.4875439241423, 19.17967243462932 69.48753229365008, 19.179697937491074 69.48753168148164, 19.179699683052828 69.48754062536509, 19.179734594614956 69.4877195030278, 19.179736340209413 69.48772844691062, 19.179710837115003 69.48772905908545, 19.17922627802541 69.48774068969902, 19.179259440597402 69.48791062357756, 19.179261186011498 69.48791956746561, 19.17923568267444 69.48792017957172, 19.178751118974454 69.48793180887965, 19.178784278294003 69.48810174375183, 19.17878602352773 69.48811068764508, 19.178760519948014 69.48811129968246, 19.177740375482685 69.48813577812209, 19.17771312704959 69.48812744610123, 19.17767997634393 69.48795751189186, 19.176685341280482 69.48798137225843, 19.176658093450794 69.48797304007054, 19.176658093276355 69.48797303917611, 19.176658093101928 69.48797303828175, 19.176624951374084 69.48780310562958, 19.17512025493569 69.48783919074667, 19.175093007889817 69.4878308583114, 19.175058134647514 69.48765197869807))
