id;detector_id;start_time;end_time;length;size_category;front_speed;affected_regions;regions;classification_type;classification_result
e0ba7126-587a-7221-f63c-b6c75d5ba14f;432;2017-02-17 18:49:21+00;2017-02-17 18:49:46+00;;1.783999105;15.6605694;;;;
49964cb0-e5d6-35fc-2ea6-3ae3c1ea76f5;432;2017-02-17 19:03:32+00;2017-02-17 19:04:30+00;;2.170790846;16.508342550000002;;;;
73602cb3-dccf-05ab-3583-145bd7f3b8f5;432;2017-02-24 08:38:36+00;2017-02-24 08:39:39+00;;2.275701204;10.752959155555555;;;;
491c2e69-e053-b1eb-1cf5-f6fa121658d5;432;2017-02-24 09:51:36+00;2017-02-24 09:52:04+00;;2.018163298;14.705298019444443;;;;
e68fada7-5ed8-6494-961c-2f6519c54645;432;2017-02-24 11:23:22+00;2017-02-24 11:24:15+00;;1.881494499;15.039702711111111;;;;
8c6631ec-902f-9126-76f3-1cef0fca8e58;432;2017-03-11 17:29:19+00;2017-03-11 17:30:18+00;;2.226537974;7.283575211111111;;;;
5d680cd3-dba8-9e09-51db-1a758adb21dc;432;2017-03-16 00:32:02+00;2017-03-16 00:32:33+00;;0.9604633009;8.464261616666667;;;;
ab1ff861-3d02-cf21-7fe4-cf78fdc64864;432;2017-03-18 05:53:06+00;2017-03-18 05:53:37+00;;1.719240536;22.226372127777775;;;;
9d7128ef-2a25-28c8-4ac1-0146925e1acf;432;2017-03-25 19:25:03+00;2017-03-25 19:25:08+00;;1.362946325;0;;;;
d72332b3-d9e4-1fdd-d2dd-ccb309b84541;432;2017-03-26 15:08:55+00;2017-03-26 15:09:30+00;;1.672462626;10.118349138888888;;;;
e9815637-e683-d88a-df44-6b0f04e98b41;432;2017-03-31 20:04:11+00;2017-03-31 20:04:42+00;;1.328373516;5.411425502777778;;;;
8e369154-4531-2052-5562-f0a5d2c7e1bd;432;2017-03-31 20:52:21+00;2017-03-31 20:53:28+00;;2.418934182;10.387791469444444;;;;
17e52014-a716-4475-b7e4-607e927c90d7;432;2017-04-03 19:17:59+00;2017-04-03 19:19:14+00;;0;0;;;;
c6c50e7c-b598-9f97-eea4-4829e720929b;432;2017-04-04 06:36:50+00;2017-04-04 06:40:01+00;;1.507167841;8.550837227777777;;;;
05f376e4-6977-52fd-0d82-d846680cbf40;432;2017-04-04 08:36:49+00;2017-04-04 08:37:16+00;;1.103119605;10.482265125;;;;
a28f9c27-6dd6-a231-9432-fe88a434d6c9;432;2017-04-04 11:24:16+00;2017-04-04 11:25:54+00;;0;0;;;;
2ee05e12-85c8-6249-d44a-c98818838275;432;2017-04-18 06:11:02+00;2017-04-18 06:12:15+00;;1.170932543;12.303616494444443;;;;
1381fd56-fb6f-cf5c-9aba-fd59dd5c6eb1;432;2017-04-21 16:02:35+00;2017-04-21 16:03:23+00;;0;16.455361858333333;;;;
73bd345a-da0f-cef2-fb8f-97b0dc404bab;432;2017-05-01 14:16:27+00;2017-05-01 14:19:30+00;;0;0;;;;
95fdf9c3-8b61-0b02-0b4d-e7ce2648f520;432;2017-05-01 17:11:07+00;2017-05-01 17:16:25+00;;0;0;;;;
